image,n_true,n_pred,pixel_iou,pixel_dice,precision,recall,f1,mean_matched_iou,tp,fp,fn,infer_ms
IXMtest_C23_s2_w10533E965-3DC3-4556-9C26-EA8DD4F8DE61.tif,114,112,0.9539280764461303,0.9764208702923872,1.0,0.9824561403508771,0.9911504424778761,0.9321881260864284,112,0,2,719.804048538208
IXMtest_D01_s1_w181AE787C-B5EE-4150-A90E-2FE43165C32E.tif,97,95,0.9140276523309943,0.95508301692282,1.0,0.979381443298969,0.9895833333333333,0.9108620643113199,95,0,2,739.2408847808838
IXMtest_D02_s8_w1AC6783DF-ED35-4818-8091-E6D02AF4BFBD.tif,99,100,0.9509697924943662,0.9748688023288421,0.96,0.9696969696969697,0.964824120603015,0.9453864510812441,96,4,3,714.0219211578369
IXMtest_D04_s2_w1E05C134E-BAFE-4FD7-8116-2D05E0839879.tif,142,140,0.9302702760379432,0.9638756681757628,0.9785714285714285,0.9647887323943662,0.9716312056737589,0.9152298729582428,137,3,5,722.3153114318848
IXMtest_D04_s9_w17B6268DB-8215-4DC6-943C-CC009A8A5732.tif,111,110,0.9483224265087774,0.9734758617012769,0.990909090909091,0.9819819819819819,0.9864253393665158,0.9405111337325031,109,1,2,722.4013805389404
IXMtest_D06_s5_w13C67AAA9-6E81-42DB-AC5F-7126602F3607.tif,157,152,0.9302454410817044,0.9638623371755225,0.9802631578947368,0.9490445859872612,0.964401294498382,0.9195570195491691,149,3,8,718.7404632568359
IXMtest_D06_s8_w1BE84C8EF-4CD0-4B56-8267-4E662F57AC25.tif,165,158,0.9313672484672902,0.9644641631014631,0.9683544303797469,0.9272727272727272,0.9473684210526316,0.9180440950739617,153,5,12,711.7862701416016
IXMtest_D07_s4_w16CF58D03-0B05-41FE-AE73-7298887DEBB1.tif,128,124,0.926598700320211,0.9619010956108351,0.9596774193548387,0.9296875,0.9444444444444444,0.914660229804789,119,5,9,719.4366455078125
IXMtest_D08_s7_w1F476A544-A07C-4E9B-A6CB-BAEF4CD6F64E.tif,48,50,0.9438455210633415,0.9711116555671871,0.92,0.9583333333333334,0.9387755102040817,0.8759056084972568,46,4,2,719.2144393920898
IXMtest_D10_s2_w1BB72A093-72AB-476C-9513-2FF43BFB2134.tif,141,137,0.9493670886075949,0.974025974025974,1.0,0.9716312056737588,0.9856115107913669,0.9406398937949394,137,0,4,712.7406597137451
IXMtest_D19_s6_w1EB1F11AE-4FB6-481F-94D9-40246870F0CB.tif,148,146,0.9520017788884065,0.9754107697899094,1.0,0.9864864864864865,0.9931972789115647,0.935752155504848,146,0,2,715.9490585327148
IXMtest_D20_s3_w19D371AF3-0189-48A3-AF3B-D108DE6A017F.tif,163,166,0.9263920261016099,0.9617897224962311,0.9759036144578314,0.9938650306748467,0.9848024316109423,0.917853377418817,162,4,1,725.9914875030518
IXMtest_D20_s9_w1588B4C42-5A0D-4B93-9A80-A6527CC1C411.tif,141,134,0.9452600403400823,0.9718598241239008,0.9626865671641791,0.9148936170212766,0.9381818181818182,0.9242661629917858,129,5,12,718.2505130767822
IXMtest_E04_s4_w1F5ABC12B-FABD-4E33-AB99-82271209853E.tif,133,131,0.9357023534893235,0.9667832988916025,0.9923664122137404,0.9774436090225563,0.9848484848484848,0.9217776736491614,130,1,3,718.651533126831
